PackageName|Category
flow|Actors
gen_stage|Actors
horde|Actors
swarm|Actors
syn|Actors
distance|Algorithms and Data structures
matrix_reloaded|Algorithms and Data structures
radix|Algorithms and Data structures
seg_seg|Algorithms and Data structures
trie|Algorithms and Data structures
exla|Artificial Intelligence
langchain|Artificial Intelligence
nx|Artificial Intelligence
openai|Artificial Intelligence
polaris|Artificial Intelligence
tokenizers|Artificial Intelligence
xla|Artificial Intelligence
ash_authentication|Authentication
ash_authentication_phoenix|Authentication
assent|Authentication
boruta|Authentication
comeonin|Authentication
esaml|Authentication
guardian|Authentication
guardian_db|Authentication
guardian_phoenix|Authentication
oauth2|Authentication
oauther|Authentication
oidcc|Authentication
openid_connect|Authentication
pot|Authentication
pow|Authentication
samly|Authentication
simple_token_authentication|Authentication
ueberauth|Authentication
ueberauth_auth0|Authentication
ueberauth_github|Authentication
ueberauth_google|Authentication
ueberauth_microsoft|Authentication
ueberauth_oidcc|Authentication
ueberauth_okta|Authentication
bodyguard|Authorization
benchee|Benchmarking
benchee_html|Benchmarking
benchee_json|Benchmarking
cc_precompiler|Build Tools
dart_sass|Build Tools
elixir_make|Build Tools
esbuild|Build Tools
grpcbox_plugin|Build Tools
igniter|Build Tools
pc|Build Tools
provider_asn1|Build Tools
rebar3_archive_plugin|Build Tools
rebar3_eetcd_plugin|Build Tools
rebar3_elixir|Build Tools
rebar3_gpb_plugin|Build Tools
rebar3_neotoma_plugin|Build Tools
rebar3_path_deps|Build Tools
tailwind|Build Tools
cachex|Caching
con_cache|Caching
lru|Caching
memcachex|Caching
nebulex|Caching
nebulex_redis_adapter|Caching
redis_mutex|Caching
aws|Cloud Infrastructure and Management
aws_rds_castore|Cloud Infrastructure and Management
aws_signature|Cloud Infrastructure and Management
erlcloud|Cloud Infrastructure and Management
ex_aws|Cloud Infrastructure and Management
ex_aws_bedrock|Cloud Infrastructure and Management
ex_aws_dynamo|Cloud Infrastructure and Management
ex_aws_ec2|Cloud Infrastructure and Management
ex_aws_kms|Cloud Infrastructure and Management
ex_aws_lambda|Cloud Infrastructure and Management
ex_aws_rds|Cloud Infrastructure and Management
ex_aws_s3|Cloud Infrastructure and Management
ex_aws_secretsmanager|Cloud Infrastructure and Management
ex_aws_ses|Cloud Infrastructure and Management
ex_aws_sns|Cloud Infrastructure and Management
ex_aws_sqs|Cloud Infrastructure and Management
ex_aws_sts|Cloud Infrastructure and Management
gcs_signed_url|Cloud Infrastructure and Management
google_api_big_query|Cloud Infrastructure and Management
google_api_pub_sub|Cloud Infrastructure and Management
google_api_secret_manager|Cloud Infrastructure and Management
google_api_storage|Cloud Infrastructure and Management
google_gax|Cloud Infrastructure and Management
goth|Cloud Infrastructure and Management
libcluster|Cloud Infrastructure and Management
libcluster_ec2|Cloud Infrastructure and Management
boundary|Code Analysis
credo|Code Analysis
credo_naming|Code Analysis
dialyxir|Code Analysis
elvis_core|Code Analysis
erlfmt|Code Analysis
katana_code|Code Analysis
makeup|Code Analysis
makeup_eex|Code Analysis
makeup_elixir|Code Analysis
makeup_erlang|Code Analysis
makeup_html|Code Analysis
markdown_formatter|Code Analysis
rebar3_fmt|Code Analysis
rebar3_format|Code Analysis
rebar3_hank|Code Analysis
rebar3_lint|Code Analysis
rewrite|Code Analysis
sourceror|Code Analysis
styler|Code Analysis
tailwind_formatter|Code Analysis
artificery|Command Line Applications
cli_options|Command Line Applications
getopt|Command Line Applications
owl|Command Line Applications
progress_bar|Command Line Applications
confex|Configuration
configparser_ex|Configuration
confix|Configuration
cuttlefish|Configuration
dotenv_parser|Configuration
dotenvy|Configuration
eini|Configuration
skogsra|Configuration
toml|Configuration
argon2_elixir|Cryptography
bcrypt_elixir|Cryptography
castore|Cryptography
chacha20|Cryptography
cloak|Cryptography
cloak_ecto|Cryptography
crypto_rand|Cryptography
curve25519|Cryptography
ed25519|Cryptography
equivalex|Cryptography
ex_crypto|Cryptography
ex_keccak|Cryptography
gleam_crypto|Cryptography
kcl|Cryptography
nimble_totp|Cryptography
nkeys|Cryptography
pbkdf2_elixir|Cryptography
poly1305|Cryptography
salsa20|Cryptography
secure_random|Cryptography
ssl_verify_fun|Cryptography
tls_certificate_check|Cryptography
x509|Cryptography
csv|CSV
erl_csv|CSV
nimble_csv|CSV
calendar|Date and Time
date_time_parser|Date and Time
iso8601|Date and Time
nimble_strftime|Date and Time
rfc3339|Date and Time
timex|Date and Time
tz|Date and Time
tzdata|Date and Time
exprof|Debugging
extrace|Debugging
observer_cli|Debugging
recon|Debugging
redbug|Debugging
rexbug|Debugging
distillery|Deployment
systemd|Deployment
doctor|Documentation
ex_doc|Documentation
graphql_markdown|Documentation
inch_ex|Documentation
kino|Documentation
open_api_spex|Documentation
phoenix_swagger|Documentation
rebar3_ex_doc|Documentation
vega_lite|Documentation
bamboo|Email
bamboo_phoenix|Email
bamboo_smtp|Email
gen_smtp|Email
mail|Email
mjml|Email
mjml_eex|Email
phoenix_swoosh|Email
premailex|Email
swoosh|Email
avrora|Encoding and Compression
base16|Encoding and Compression
base64url|Encoding and Compression
brotli|Encoding and Compression
cbor|Encoding and Compression
erlavro|Encoding and Compression
fast64|Encoding and Compression
iconv|Encoding and Compression
mime|Encoding and Compression
mimerl|Encoding and Compression
msgpax|Encoding and Compression
multipart|Encoding and Compression
splode|Errors and Exception Handling
fun_with_flags|Feature Flags and Toggles
fun_with_flags_ui|Feature Flags and Toggles
launchdarkly_server_sdk|Feature Flags and Toggles
arc|Files and Directories
briefly|Files and Directories
file_system|Files and Directories
filepath|Files and Directories
fs|Files and Directories
fss|Files and Directories
glob_ex|Files and Directories
sftp_client|Files and Directories
simplifile|Files and Directories
waffle|Files and Directories
waffle_ecto|Files and Directories
waffle_gcs|Files and Directories
cors_plug|Framework Components
corsica|Framework Components
plug|Framework Components
plug_cowboy|Framework Components
plug_crypto|Framework Components
plug_signature|Framework Components
pre_plug|Framework Components
unplug|Framework Components
ash|Frameworks
countries|Geolocation
geo|Geolocation
geo_postgis|Geolocation
geocalc|Geolocation
geocoder|Geolocation
geohash|Geolocation
google_maps|Geolocation
floki|HTML
html_entities|HTML
accept|HTTP
gleam_http|HTTP
finch|HTTP Client
grpc_gun|HTTP Client
gun|HTTP Client
hackney|HTTP Client
httpoison|HTTP Client
ibrowse|HTTP Client
kadabra|HTTP Client
lhttpc|HTTP Client
mint|HTTP Client
opentelemetry_finch|HTTP Client
opentelemetry_req|HTTP Client
opentelemetry_tesla|HTTP Client
req|HTTP Client
shotgun|HTTP Client
tesla|HTTP Client
tesla_request_id|HTTP Client
bandit|HTTP Server
cowboy|HTTP Server
mochiweb|HTTP Server
opentelemetry_bandit|HTTP Server
reverse_proxy_plug|HTTP Server
thousand_island|HTTP Server
trails|HTTP Server
barlix|Images
contex|Images
eqrcode|Images
ex_image_info|Images
heroicons|Images
image|Images
mogrify|Images
png|Images
pngex|Images
qr_code|Images
vix|Images
appsignal|Instrumenting / Monitoring
appsignal_phoenix|Instrumenting / Monitoring
appsignal_plug|Instrumenting / Monitoring
bear|Instrumenting / Monitoring
bugsnag|Instrumenting / Monitoring
cowboy_telemetry|Instrumenting / Monitoring
cpu_util|Instrumenting / Monitoring
eministat|Instrumenting / Monitoring
error_tracker|Instrumenting / Monitoring
etop|Instrumenting / Monitoring
goldrush|Instrumenting / Monitoring
honeybadger|Instrumenting / Monitoring
instruments|Instrumenting / Monitoring
metrics|Instrumenting / Monitoring
new_relic_agent|Instrumenting / Monitoring
o11y|Instrumenting / Monitoring
open_telemetry_decorator|Instrumenting / Monitoring
opentelemetry|Instrumenting / Monitoring
opentelemetry_api|Instrumenting / Monitoring
opentelemetry_cowboy|Instrumenting / Monitoring
opentelemetry_exporter|Instrumenting / Monitoring
opentelemetry_function|Instrumenting / Monitoring
opentelemetry_process_propagator|Instrumenting / Monitoring
opentelemetry_semantic_conventions|Instrumenting / Monitoring
opentelemetry_telemetry|Instrumenting / Monitoring
otel_http|Instrumenting / Monitoring
peep|Instrumenting / Monitoring
plugsnag|Instrumenting / Monitoring
prom_ex|Instrumenting / Monitoring
prometheus|Instrumenting / Monitoring
prometheus_ex|Instrumenting / Monitoring
prometheus_httpd|Instrumenting / Monitoring
prometheus_phoenix|Instrumenting / Monitoring
prometheus_plugs|Instrumenting / Monitoring
prometheus_process_collector|Instrumenting / Monitoring
rollbax|Instrumenting / Monitoring
sentry|Instrumenting / Monitoring
seshat|Instrumenting / Monitoring
spandex|Instrumenting / Monitoring
spandex_datadog|Instrumenting / Monitoring
spandex_phoenix|Instrumenting / Monitoring
spandex_phoenix_fresha|Instrumenting / Monitoring
statistex|Instrumenting / Monitoring
statix|Instrumenting / Monitoring
sysmon_handler|Instrumenting / Monitoring
telemetry|Instrumenting / Monitoring
telemetry_metrics|Instrumenting / Monitoring
telemetry_metrics_prometheus|Instrumenting / Monitoring
